Jobs,Job Descriptions,Control-M Jobs Ref #,Input Files,Output Files,Remarks
1,File Transfer_1,REF_1020,,,
2,File Transfer_2,REF_1021,,,
3,File Transfer_3,REF_1022,,,
4,File Transfer_4,REF_1023,,,
5,File Transfer_5,REF_1024,,,
6,File Transfer_6,REF_1025,,,
7,Daily file to application_1,REF_1026,,,
8,Daily file to application_2,REF_1027,,,
9,Load Data,REF_1028,,,
10,Warehouse File Transfer_1,REF_1029,,,
11,Warehouse File Transfer_2,REF_1030,,,
12,Warehouse File Transfer_3,REF_1031,,,
13,Warehouse File Transfer_4,REF_1032,,,
14,Warehouse File Transfer_5,REF_1033,,,
15,Warehouse File Transfer_6,REF_1034,,,
16,Sync data_1,REF_1035,,,
17,Reference File Transfer_1,REF_1036,,,
18,Reference File Transfer_2,REF_1037,,,
19,Reference File Transfer_3,REF_1038,,,
20,Reference File Transfer_4,REF_1039,,,
21,Sync data_2,REF_1040,,,
22,Global File Transfer_1,REF_1041,,,
23,Global File Transfer_2,REF_1042,,,
24,Script to application,REF_1043,,,
25,Extract to application,REF_1044,,,
26,Data Loading,REF_1045,,,
27,Incremental Data Loading,REF_1046,,,
28,Stage Data Loading_1,REF_1047,,,
29,Stage Data Loading_2,REF_1048,,,
30,Publishing,REF_1049,,,
31,Publish to application,REF_1050,,,
32,Group profiles_1,REF_1051,,,
33,Group profiles_2,REF_1052,,,
34,Publish to other applications,REF_1053,,,
35,Group profiles_3,REF_1054,,,
36,Group profiles_4,REF_1055,,,
37,Arrange Data,REF_1056,,,
38,Sync Data,REF_1057,,,
